"Part";"Value";"Device";"Package";"Description";"FARNELL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"+5VDC";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";"";"";"";"";"CONN-08197";"";
"BLUETOOTH";"BLUETOOTH";"M06SMD-FEMALE-V2";"1X06-SMD-FEMALE-V2";"Header 6";"";"";"";"";"";"";"";
"C1";"1uF";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C3";"1uF";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C4";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C5";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C6";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C7";"1u";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C8";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C9";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C10";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C11";"1u";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C12";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C13";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C14";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C15";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C16";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
